frames,frame_time,pose_time,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32
0,00:00.182,00:00.000,0.4202396273612976,0.7692581415176392,-1.033275842666626,0.45342692732810974,0.6731585264205933,-1.0072261095046997,0.47470101714134216,0.6762418746948242,-1.0078333616256714,0.4952484965324402,0.678685188293457,-1.0075968503952026,0.395532488822937,0.6575837135314941,-0.9951828718185425,0.37620308995246887,0.6478954553604126,-0.9963630437850952,0.35943663120269775,0.6393150091171265,-0.9969741702079773,0.5274866819381714,0.6795140504837036,-0.6862816214561462,0.32477250695228577,0.6415899991989136,-0.6322547197341919,0.4541439116001129,0.84395432472229,-0.8880152702331543,0.3809032142162323,0.8386166095733643,-0.8787358999252319,0.6455651521682739,0.8978351950645447,-0.4622998833656311,0.21479444205760956,0.929872989654541,-0.3378819525241852,0.7555844783782959,1.3218075037002563,-0.510474443435669,0.1863921880722046,1.3699820041656494,-0.32674333453178406,0.7396277189254761,1.7392874956130981,-0.7434601783752441,0.19944056868553162,1.7272181510925293,-0.5037536025047302,0.760256290435791,1.8791358470916748,-0.8118969202041626,0.18734633922576904,1.8464738130569458,-0.5545229315757751,0.7255415320396423,1.8752554655075073,-0.8578998446464539,0.20166003704071045,1.8426281213760376,-0.6166591048240662,0.7074137926101685,1.820321798324585,-0.7627728581428528,0.21820208430290222,1.7948849201202393,-0.5329334735870361,0.5550558567047119,1.7420408725738525,-0.027445171028375626,0.3067803382873535,1.735222578048706,0.02653401717543602,0.5526918172836304,2.4589476585388184,-0.1574551910161972,0.3315846621990204,2.435167074203491,-0.27612045407295227,0.5435600280761719,3.025291919708252,0.10728861391544342,0.31985828280448914,3.0287954807281494,0.18236103653907776,0.5582208633422852,3.1092467308044434,0.11616663634777069,0.32071053981781006,3.130133628845215,0.22030523419380188,0.4686206877231598,3.215806484222412,-0.21771958470344543,0.32725298404693604,3.189500331878662,-0.05464407801628113
1,00:00.333,00:00.033,0.42019373178482056,0.7740189433097839,-1.3434579372406006,0.45274537801742554,0.6831181049346924,-1.3274447917938232,0.47446107864379883,0.683469831943512,-1.3282195329666138,0.4948529601097107,0.6827901601791382,-1.3280465602874756,0.395218163728714,0.6677360534667969,-1.3163740634918213,0.37576964497566223,0.6578839421272278,-1.3175899982452393,0.3580450117588043,0.6481801867485046,-1.3183410167694092,0.5262738466262817,0.6787284016609192,-0.9921467900276184,0.32594966888427734,0.6416419744491577,-0.941076934337616,0.4544436037540436,0.84541255235672,-1.1871063709259033,0.38092294335365295,0.838959813117981,-1.179057240486145,0.6506853699684143,0.8978354334831238,-0.6819199323654175,0.2203657180070877,0.9287956953048706,-0.5982483625411987,0.7555835843086243,1.3319354057312012,-0.673015832901001,0.1865258514881134,1.3697670698165894,-0.5855973958969116,0.7276557087898254,1.7693015336990356,-0.8729615211486816,0.19908973574638367,1.7271467447280884,-0.7775818109512329,0.7394495010375977,1.9134974479675293,-0.9382829666137695,0.18726816773414612,1.845089077949524,-0.8409121632575989,0.7100139856338501,1.9023566246032715,-0.9958769083023071,0.19857893884181976,1.8381695747375488,-0.9064321517944336,0.6938620805740356,1.8459765911102295,-0.8949043154716492,0.21621482074260712,1.7921167612075806,-0.808357834815979,0.5588975548744202,1.7403665781021118,-0.01966427080333233,0.3088884949684143,1.7249596118927002,0.01879279688000679,0.5526835918426514,2.4562599658966064,-0.14359194040298462,0.3276802897453308,2.4349753856658936,-0.34186679124832153,0.5348583459854126,3.0569729804992676,0.10702653974294662,0.30335479974746704,3.05739164352417,0.04700813814997673,0.54372638463974,3.145409107208252,0.11436107009649277,0.2998535633087158,3.1560888290405273,0.07650662958621979,0.46314582228660583,3.2596445083618164,-0.2315232753753662,0.3183230459690094,3.2396161556243896,-0.23648139834403992
2,00:00.471,00:00.066,0.42081332206726074,0.7749277949333191,-1.2013124227523804,0.4527839720249176,0.6873301267623901,-1.1805956363677979,0.4747031331062317,0.6864417791366577,-1.1812894344329834,0.4949982762336731,0.684333860874176,-1.1810815334320068,0.39529332518577576,0.6726669669151306,-1.169858694076538,0.37583932280540466,0.6634114384651184,-1.1710526943206787,0.35796836018562317,0.6541731953620911,-1.1717278957366943,0.5261875987052917,0.6779888868331909,-0.8588887453079224,0.32743945717811584,0.6426578760147095,-0.8129374384880066,0.45591801404953003,0.8454013466835022,-1.0521934032440186,0.3818292021751404,0.8387495875358582,-1.0444855690002441,0.6527479887008667,0.8977737426757812,-0.5965072512626648,0.22591190040111542,0.9262853860855103,-0.5063555836677551,0.7532933950424194,1.3273863792419434,-0.6138577461242676,0.18513205647468567,1.3550055027008057,-0.5147981643676758,0.7162338495254517,1.7676712274551392,-0.8464463353157043,0.19346219301223755,1.7179819345474243,-0.69742351770401,0.7274426817893982,1.9107699394226074,-0.8810752630233765,0.1795089989900589,1.8347983360290527,-0.754691481590271,0.6962615251541138,1.9012466669082642,-0.9393981099128723,0.19160327315330505,1.8282619714736938,-0.8150208592414856,0.6809597015380859,1.84479558467865,-0.8634225130081177,0.21057073771953583,1.783669352531433,-0.7262733578681946,0.5603151321411133,1.7391782999038696,-0.012884770520031452,0.30935031175613403,1.7210052013397217,0.011989204213023186,0.553056001663208,2.4558656215667725,-0.0521693229675293,0.32139852643013,2.433743715286255,-0.3665980398654938,0.533570408821106,3.055915594100952,0.2501410245895386,0.2936994731426239,3.0560874938964844,0.01703537628054619,0.5412131547927856,3.1437251567840576,0.2631315290927887,0.2920960485935211,3.155280113220215,0.04787026345729828,0.4632437825202942,3.261317253112793,-0.03527509421110153,0.3024827837944031,3.23931884765625,-0.2286498099565506
3,00:00.610,00:00.100,0.4208163321018219,0.7749083042144775,-1.1605901718139648,0.45270735025405884,0.6871944665908813,-1.1390211582183838,0.47470998764038086,0.6863105893135071,-1.1397068500518799,0.49495458602905273,0.6841288805007935,-1.1395041942596436,0.3951050639152527,0.6729126572608948,-1.1284921169281006,0.37555673718452454,0.6636833548545837,-1.1296842098236084,0.3573210835456848,0.6545738577842712,-1.1303585767745972,0.5246520638465881,0.6745340824127197,-0.824332058429718,0.32842883467674255,0.6426337957382202,-0.7808321714401245,0.4564213752746582,0.8449548482894897,-1.0129528045654297,0.38203683495521545,0.8370493650436401,-1.0054082870483398,0.6536089181900024,0.8966261148452759,-0.5725390315055847,0.22841639816761017,0.9262018203735352,-0.481322705745697,0.7531424164772034,1.3267157077789307,-0.5941894054412842,0.18467848002910614,1.3552218675613403,-0.49983611702919006,0.7161117792129517,1.7657016515731812,-0.7610872387886047,0.1899980753660202,1.7172530889511108,-0.6865655183792114,0.727983832359314,1.908444881439209,-0.8018832206726074,0.17579050362110138,1.8319671154022217,-0.7415308356285095,0.6964729428291321,1.8997416496276855,-0.8544338345527649,0.18657568097114563,1.8235713243484497,-0.7999110817909241,0.6808791160583496,1.8433475494384766,-0.7778747081756592,0.20622718334197998,1.780179738998413,-0.7149941921234131,0.5638824701309204,1.7376800775527954,-0.012200151570141315,0.3124379515647888,1.7199344635009766,0.011298902332782745,0.5574163198471069,2.4547407627105713,-0.0770045667886734,0.3217112421989441,2.4338510036468506,-0.3460565209388733,0.5352842211723328,3.055734634399414,0.2217891663312912,0.29538199305534363,3.0596683025360107,0.04212455078959465,0.5419881939888,3.142491340637207,0.24098630249500275,0.29431992769241333,3.1561927795410156,0.07267867028713226,0.4655652940273285,3.2631428241729736,-0.10677903890609741,0.3089230954647064,3.25347638130188,-0.1981862485408783
4,00:00.755,00:00.133,0.4205898344516754,0.7748991250991821,-1.1509020328521729,0.4516419768333435,0.6871381402015686,-1.131253957748413,0.47415614128112793,0.6862042546272278,-1.1319537162780762,0.4942881166934967,0.683923065662384,-1.1317694187164307,0.39440301060676575,0.6733452081680298,-1.1197930574417114,0.37486669421195984,0.664185643196106,-1.1209774017333984,0.35648640990257263,0.6550775766372681,-1.1216785907745361,0.5233878493309021,0.6716046929359436,-0.8172551989555359,0.3292842209339142,0.6425083875656128,-0.7656778693199158,0.45646652579307556,0.8444288372993469,-1.0045859813690186,0.3821321129798889,0.8357419371604919,-0.9957305788993835,0.6575363278388977,0.8966265916824341,-0.5682026743888855,0.2300340235233307,0.9261952638626099,-0.4621216356754303,0.7575535178184509,1.330047845840454,-0.5968573689460754,0.18546079099178314,1.3564406633377075,-0.47613948583602905,0.7170380353927612,1.772392749786377,-0.7808798551559448,0.19023515284061432,1.7174153327941895,-0.6680033206939697,0.7305144667625427,1.9175524711608887,-0.8326206207275391,0.17607459425926208,1.8321943283081055,-0.7229799628257751,0.6985939741134644,1.9089113473892212,-0.8820695877075195,0.1870844066143036,1.8238533735275269,-0.7834512591362,0.6827118992805481,1.8520028591156006,-0.7980657815933228,0.2065763920545578,1.7802666425704956,-0.6973482370376587,0.5693695545196533,1.738048791885376,-0.01240369863808155,0.3157336115837097,1.7201745510101318,0.011513462290167809,0.5604584217071533,2.455291986465454,-0.08380583673715591,0.32194167375564575,2.4352521896362305,-0.3529375493526459,0.5359870791435242,3.0675017833709717,0.12641482055187225,0.29715853929519653,3.0690860748291016,0.009182625450193882,0.5424572229385376,3.1560611724853516,0.13171473145484924,0.2963406443595886,3.1668105125427246,0.03712545707821846,0.46538853645324707,3.2797691822052,-0.20618470013141632,0.30990129709243774,3.2666852474212646,-0.24814298748970032
5,00:00.897,00:00.166,0.4167627692222595,0.7733708620071411,-1.1303657293319702,0.4462328553199768,0.6860313415527344,-1.1251388788223267,0.46960893273353577,0.6846489906311035,-1.1258872747421265,0.4904305040836334,0.6821452379226685,-1.125693440437317,0.39015984535217285,0.6728614568710327,-1.1095210313796997,0.3716013431549072,0.6639429330825806,-1.1107914447784424,0.3542979955673218,0.6549809575080872,-1.111661672592163,0.5200691819190979,0.6690466403961182,-0.8141101598739624,0.3309938907623291,0.6420904994010925,-0.7573627829551697,0.45496147871017456,0.8426680564880371,-1.0039983987808228,0.3807967007160187,0.832792341709137,-0.9901687502861023,0.6591243743896484,0.8978727459907532,-0.5657848119735718,0.2323826253414154,0.922216534614563,-0.4748004078865051,0.7419491410255432,1.3527382612228394,-0.5810016989707947,0.18299178779125214,1.3547574281692505,-0.49916648864746094,0.6988303065299988,1.7904772758483887,-0.6838945746421814,0.18293827772140503,1.7135133743286133,-0.6942077875137329,0.7094029188156128,1.935293197631836,-0.7236120104789734,0.16724960505962372,1.8273649215698242,-0.7497696876525879,0.680160641670227,1.9232341051101685,-0.7775667905807495,0.17934437096118927,1.8203402757644653,-0.8060345649719238,0.6654369831085205,1.8651866912841797,-0.7017043828964233,0.19942446053028107,1.7768127918243408,-0.7222440242767334,0.5686157941818237,1.7380057573318481,-0.007822206243872643,0.31544479727745056,1.7172216176986694,0.0069816214963793755,0.5603630542755127,2.457817316055298,-0.0252975020557642,0.31864431500434875,2.4352149963378906,-0.39307111501693726,0.5352699160575867,3.0658304691314697,0.21447916328907013,0.2945308983325958,3.0671472549438477,-0.08181132376194,0.5424949526786804,3.153665542602539,0.22217068076133728,0.2932572662830353,3.165395736694336,-0.057317741215229034,0.463836669921875,3.275203227996826,-0.06759242713451385,0.3090053200721741,3.25985050201416,-0.3287401795387268
6,00:01.045,00:00.200,0.41613832116127014,0.7706286311149597,-1.2516731023788452,0.4458846151828766,0.68427973985672,-1.2328752279281616,0.46923670172691345,0.6826441884040833,-1.2335762977600098,0.48987898230552673,0.6800544857978821,-1.2334215641021729,0.3899252414703369,0.6709495782852173,-1.2183057069778442,0.37135568261146545,0.6616243720054626,-1.2195370197296143,0.35411494970321655,0.6524994373321533,-1.220324158668518,0.5191112756729126,0.6669056415557861,-0.90473473072052,0.33217963576316833,0.6396604776382446,-0.8377079963684082,0.45442667603492737,0.8412094712257385,-1.102292776107788,0.38009583950042725,0.8281981348991394,-1.0889010429382324,0.6616302728652954,0.8980835676193237,-0.6192963123321533,0.23320797085762024,0.9215272068977356,-0.5054616332054138,0.7530979514122009,1.3560621738433838,-0.5785790085792542,0.18559862673282623,1.3596410751342773,-0.4790176451206207,0.7174376249313354,1.7960063219070435,-0.7022818326950073,0.18349860608577728,1.7193547487258911,-0.6735115647315979,0.7294939756393433,1.9392849206924438,-0.7523675560951233,0.16827794909477234,1.8320311307907104,-0.7297057509422302,0.7015448212623596,1.9302313327789307,-0.8070713877677917,0.17974427342414856,1.82583749294281,-0.7822279930114746,0.6860002279281616,1.8719780445098877,-0.7217656373977661,0.19985245168209076,1.781790852546692,-0.6995319128036499,0.5714543461799622,1.7393441200256348,-0.01590617746114731,0.31717365980148315,1.7174420356750488,0.01500391960144043,0.5606204271316528,2.4596128463745117,-0.19796821475028992,0.32062098383903503,2.441408395767212,-0.3797733187675476,0.5342246294021606,3.0818819999694824,0.03299316391348839,0.2989713251590729,3.075191020965576,0.09994754940271378,0.5426633358001709,3.173197031021118,0.03760463744401932,0.2970440983772278,3.1728811264038086,0.14128346741199493,0.45537811517715454,3.2839441299438477,-0.3278559744358063,0.3119816184043884,3.2659053802490234,-0.15507982671260834
7,00:01.188,00:00.233,0.4153662621974945,0.7675261497497559,-1.2728230953216553,0.44554558396339417,0.6818585991859436,-1.2543972730636597,0.4686144292354584,0.6805228590965271,-1.255159854888916,0.48885512351989746,0.6781873106956482,-1.255018711090088,0.3896617293357849,0.6671191453933716,-1.2412941455841064,0.3711877167224884,0.6570796370506287,-1.2425220012664795,0.35406574606895447,0.6476171016693115,-1.2433130741119385,0.5174006819725037,0.6653239727020264,-0.9286066889762878,0.3342064917087555,0.6342111229896545,-0.8682902455329895,0.4534730017185211,0.8394996523857117,-1.1227144002914429,0.3791746199131012,0.8236580491065979,-1.111635684967041,0.6619375944137573,0.8980352878570557,-0.6375622749328613,0.23392817378044128,0.9206216335296631,-0.5404120087623596,0.7530905604362488,1.3553602695465088,-0.5918158888816833,0.18575887382030487,1.3631219863891602,-0.5446189045906067,0.7218605875968933,1.7925918102264404,-0.7114791870117188,0.18297861516475677,1.720346212387085,-0.7742031216621399,0.7353144884109497,1.9361974000930786,-0.7568387389183044,0.16708768904209137,1.8321638107299805,-0.8411458730697632,0.707978367805481,1.9273074865341187,-0.8285497426986694,0.17788049578666687,1.8259119987487793,-0.9063172340393066,0.6918371915817261,1.8692454099655151,-0.7359376549720764,0.19830702245235443,1.7820870876312256,-0.8068809509277344,0.571041464805603,1.7409917116165161,-0.015587171539664268,0.3175528943538666,1.7208119630813599,0.014683796092867851,0.562245786190033,2.460071325302124,-0.1428731083869934,0.3230908215045929,2.45112943649292,-0.349843829870224,0.5366472005844116,3.0854437351226807,0.09455706179141998,0.3074480891227722,3.0837762355804443,0.11516575515270233,0.5441149473190308,3.176819086074829,0.09802411496639252,0.3052486777305603,3.178746461868286,0.15244492888450623,0.46225112676620483,3.2907090187072754,-0.2970714867115021,0.32662856578826904,3.2799479961395264,-0.1444617211818695
8,00:01.344,00:00.266,0.4155036509037018,0.7656780481338501,-1.1107618808746338,0.4456093907356262,0.6809367537498474,-1.0964200496673584,0.4686340391635895,0.6795946359634399,-1.0971559286117554,0.4887278079986572,0.6772276759147644,-1.0970251560211182,0.3896796405315399,0.6660029292106628,-1.0860940217971802,0.3711986541748047,0.6558738946914673,-1.0873419046401978,0.3540753722190857,0.6463950872421265,-1.0881059169769287,0.5169218182563782,0.6643193364143372,-0.8107377290725708,0.3350743055343628,0.6331928968429565,-0.7633793354034424,0.4533815383911133,0.8380420207977295,-0.975836455821991,0.3792472183704376,0.8211292624473572,-0.968490481376648,0.6617262959480286,0.8978936076164246,-0.569855809211731,0.23513789474964142,0.9176663756370544,-0.48538723587989807,0.7525713443756104,1.3550300598144531,-0.5449509024620056,0.1846264898777008,1.3611643314361572,-0.5208180546760559,0.7219743132591248,1.790908694267273,-0.6816830039024353,0.18207475543022156,1.716889500617981,-0.7202227115631104,0.735901415348053,1.9345052242279053,-0.7297213077545166,0.1665441244840622,1.8284401893615723,-0.772199273109436,0.7083186507225037,1.9256350994110107,-0.7867728471755981,0.17719611525535583,1.8218743801116943,-0.8257856369018555,0.6919851899147034,1.8675035238265991,-0.7022640705108643,0.19748996198177338,1.7787368297576904,-0.7477181553840637,0.5708885788917542,1.7407580614089966,-0.015208052471280098,0.3174511194229126,1.7195912599563599,0.01430437434464693,0.5611790418624878,2.459500312805176,-0.13649223744869232,0.3229134678840637,2.448570489883423,-0.3370550572872162,0.5364727973937988,3.083118438720703,0.09953723102807999,0.3074343204498291,3.083338737487793,0.08737898617982864,0.5442919731140137,3.1755530834198,0.10437671095132828,0.3053755462169647,3.175241470336914,0.12010371685028076,0.46229442954063416,3.288228750228882,-0.267147958278656,0.3264310359954834,3.2748379707336426,-0.1468706876039505
9,00:01.497,00:00.300,0.4186055064201355,0.7664534449577332,-1.2733001708984375,0.44941145181655884,0.682226836681366,-1.258292555809021,0.4723230302333832,0.6805886030197144,-1.2590599060058594,0.49151331186294556,0.6778398752212524,-1.258927345275879,0.39199012517929077,0.6670203804969788,-1.24856436252594,0.37299320101737976,0.6567628383636475,-1.2497962713241577,0.3550511598587036,0.6472291350364685,-1.250542402267456,0.517954409122467,0.6643970608711243,-0.9396954774856567,0.3350535035133362,0.6347367763519287,-0.8928224444389343,0.4543847143650055,0.8381945490837097,-1.1234759092330933,0.38177043199539185,0.8219899535179138,-1.1168529987335205,0.6616223454475403,0.896975040435791,-0.6453549861907959,0.23673486709594727,0.9175053834915161,-0.5650588274002075,0.7528760433197021,1.3395978212356567,-0.6067427396774292,0.18466053903102875,1.3598865270614624,-0.5457032322883606,0.7256196737289429,1.773880124092102,-0.7620071172714233,0.18431010842323303,1.7164583206176758,-0.7233266830444336,0.7395614981651306,1.9122172594070435,-0.815426230430603,0.1715657114982605,1.8277784585952759,-0.7791239619255066,0.7148631811141968,1.8977893590927124,-0.877618670463562,0.1793840527534485,1.8187042474746704,-0.8419008255004883,0.6977148652076721,1.8448631763458252,-0.7847165465354919,0.19947288930416107,1.7761313915252686,-0.752871036529541,0.5707637667655945,1.736448049545288,-0.015262648463249207,0.31927967071533203,1.7155319452285767,0.014358977787196636,0.5643323659896851,2.446349859237671,-0.13556340336799622,0.3292447328567505,2.4390854835510254,-0.33630111813545227,0.538150429725647,3.066990852355957,0.11715908348560333,0.31325626373291016,3.0798277854919434,0.10051462799310684,0.5458372831344604,3.1568779945373535,0.12566731870174408,0.31200411915779114,3.1708788871765137,0.13583475351333618,0.4659866690635681,3.2607648372650146,-0.21687142550945282,0.328644335269928,3.2689402103424072,-0.13775640726089478
